WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
130.221.224.7 - - [16/Jun/2017 18:46:21] "GET /socket.io/?EIO=3&transport=polling&t=1497638781286-609 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638781321-610&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:21] "GET /socket.io/?EIO=3&transport=polling&t=1497638781321-611&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638781357-612&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638781384-614&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:22] "GET /socket.io/?EIO=3&transport=polling&t=1497638782290-12074 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:22] "POST /socket.io/?EIO=3&transport=polling&t=1497638782325-12075&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:22] "GET /socket.io/?EIO=3&transport=polling&t=1497638782326-12076&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:22] "POST /socket.io/?EIO=3&transport=polling&t=1497638782366-12077&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:22] "POST /socket.io/?EIO=3&transport=polling&t=1497638782395-12079&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:31] "GET /socket.io/?EIO=3&transport=polling&t=1497638782367-12078&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:31] "GET /socket.io/?EIO=3&transport=polling&t=1497638781357-613&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:31] "POST /socket.io/?EIO=3&transport=polling&t=1497638791396-12080&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:31] "POST /socket.io/?EIO=3&transport=polling&t=1497638791396-615&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:41] "GET /socket.io/?EIO=3&transport=polling&t=1497638791397-616&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:41] "POST /socket.io/?EIO=3&transport=polling&t=1497638801379-617&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:41] "GET /socket.io/?EIO=3&transport=polling&t=1497638791396-12081&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:41] "POST /socket.io/?EIO=3&transport=polling&t=1497638801424-12082&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:48] "POST /socket.io/?EIO=3&transport=polling&t=1497638808289-12084&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:48] "GET /socket.io/?EIO=3&transport=polling&t=1497638801425-12083&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:48] "POST /socket.io/?EIO=3&transport=polling&t=1497638808961-619&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:48] "GET /socket.io/?EIO=3&transport=polling&t=1497638801379-618&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:46:51] "GET /socket.io/?EIO=3&transport=polling&t=1497638808996-620&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
