WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
104.187.193.229 - - [21/Jun/2017 04:56:59] "GET / HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021020920-0 HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021020960-1&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021020961-2&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021021004-3&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021021040-5&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021021005-4&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021031018-6&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021031018-7&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021041054-8&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:26] "POST /socket.io/?EIO=3&transport=polling&t=1498021047169-10&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:26] "GET /socket.io/?EIO=3&transport=polling&t=1498021041055-9&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021047265-11&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021051089-12&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021051090-13&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021061228-14&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021061228-15&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021071044-16&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:52] "POST /socket.io/?EIO=3&transport=polling&t=1498021072850-18&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:57:52] "GET /socket.io/?EIO=3&transport=polling&t=1498021071044-17&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021072938-19&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021081208-20&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021081208-21&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021091071-22&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:18] "POST /socket.io/?EIO=3&transport=polling&t=1498021099181-24&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:18] "GET /socket.io/?EIO=3&transport=polling&t=1498021091071-23&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021099282-25&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021101075-26&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021101075-27&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021111087-28&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021111087-29&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021121133-30&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:44] "POST /socket.io/?EIO=3&transport=polling&t=1498021124997-32&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:44] "GET /socket.io/?EIO=3&transport=polling&t=1498021121133-31&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021125076-33&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:58:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021131124-34&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021131125-35&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021141104-36&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021141104-37&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021151110-38&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021151126-39&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021151187-40&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021151193-41&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021161154-42&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021161155-43&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021171121-44&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:36] "POST /socket.io/?EIO=3&transport=polling&t=1498021176822-46&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:36] "GET /socket.io/?EIO=3&transport=polling&t=1498021171121-45&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021176924-47&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021181343-48&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021181344-49&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 04:59:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021191162-50&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021191162-51&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021201124-52&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:02] "POST /socket.io/?EIO=3&transport=polling&t=1498021202908-54&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:02] "GET /socket.io/?EIO=3&transport=polling&t=1498021201124-53&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021203027-55&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021211134-56&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021211134-57&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021221154-58&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:28] "POST /socket.io/?EIO=3&transport=polling&t=1498021229188-60&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:28] "GET /socket.io/?EIO=3&transport=polling&t=1498021221154-59&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021229261-61&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021231149-62&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021231150-63&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021241161-64&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021241162-65&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021251174-66&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:54] "POST /socket.io/?EIO=3&transport=polling&t=1498021254937-68&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:00:54] "GET /socket.io/?EIO=3&transport=polling&t=1498021251174-67&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021255020-69&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021261188-70&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021261189-71&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021271310-72&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021271310-73&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021281217-74&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021281228-75&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021281285-76&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021281293-77&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021291203-78&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021291204-79&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021301222-80&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:47] "POST /socket.io/?EIO=3&transport=polling&t=1498021307216-82&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:47] "GET /socket.io/?EIO=3&transport=polling&t=1498021301223-81&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021308331-83&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021311294-84&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021311294-85&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021321228-86&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021321228-87&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021331277-88&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:13] "POST /socket.io/?EIO=3&transport=polling&t=1498021333518-90&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
